id,unitName,unitType,themeSongRes,member0,member1,member2,member3,member4,#member0,#member1,#member2,#member3,#member4,membercount,Description
179,아인헤랴르[Einherjar] from SS,special,生存本能ヴァルキュリア,14,32,74,76,77,닛타 미나미,타카모리 아이코,사기사와 후미카,타치바나 아리스,아이바 유미,5,데레스테 이벤트 [生存本能ヴァルキュリア] 때 등장한 유닛. 유닛 이름의 유래인 Einherjar는 본래 북유럽 신화에서 발키리의 인도를 받아 전장에서 사망한 후 발할라로 향하는 용사들의 혼령을 의미한다고 한다.
180,섬머 파라다이스,special,,11,15,77,,,마에카와 미쿠,아나스타샤,아이바 유미,,,3,제2회 수영복DE 드림 LIVE 페스티벌 때 등장한 유닛
181,Flowery,special,,77,32,,,,아이바 유미,타카모리 아이코,,,,2,제13회 드림 LIVE 페스티벌 때 등장한 유닛
182,해피 허즈 컴☆,special,,77,49,28,,,아이바 유미,오오츠키 유이,카타기리 사나에,,,3,제20회 드림 LIVE 페스티벌 때 등장한 유닛
183,다케다 신겐･시마즈 요시히로,special,,61,65,,,,모치다 아리사,아이노 나기사,,,,2,전국공연 천마의난 때 등장한 유닛
184,파워풀 아스리테스,special,,56,65,,,,마나베 이츠키,아이노 나기사,,,,2,제8회 드림 LIVE 페스티벌 때 등장한 유닛
185,큐티 오너먼트,special,,71,64,78,,,사쿠라이 모모카,야구치 미우,후지모토 리나,,,3,아이돌 LIVE 로얄 크리스마스 SP 때 등장한 유닛. 오너먼트라고 하면 장식이란 의미이다. 이벤트를 고려한다면 아마도 크리스마스 트리에 다는 장식을 의미하는 것으로 보인다.
186,섹시 갸루즈,special,,49,4,78,,,오오츠키 유이,죠가사키 미카,후지모토 리나,,,3,아이돌 LIVE 투어 카니발 in 독일 때 등장한 유닛. 애니메이션에도 등장했었다. 신데델라걸즈에서 리카를 제외하면 가장 갸루의 이미지가 강한 3명으로 구성된 유닛이다.
187,섹시 리틀 갸루즈,special,,49,5,78,,,오오츠키 유이,죠가사키 리카,후지모토 리나,,,3,제15회 드림 LIVE 페스티벌 때 등장한 유닛. 신데렐라걸즈 세계관에서 미카를 제외하면 가장 갸루의 이미지가 강한 멤버로 구성되어 있다. 아마도 미카가 아닌 리카가 포함되어 있어 리틀이란 단어가 붙은 것으로 추측된다.
188,맑은 물의 수호신,special,,62,29,,,,아라키 히나,카와시마 미즈키,,,,2,미식공연 여신에게 바치는 진수성찬 때 등장한 유닛
189,사이버 글라스,special,,62,31,,,,아라키 히나,카미죠 하루나,,,,2,제1회 드림 LIVE 페스티벌 때 등장한 유닛. 둘 다 안경을 쓰는 멤버이다. 히나가 특훈 후에는 안경을 자주 벗긴 하지만 말이다. 히나의 [사이버 글라스] 카드는 특훈 후에도 사이버틱한 안경을 쓰고 있는데. 이것은 하루나의 [안경 프린세스] 특훈 후에 쓰고 있는 안경과 비슷한 분위기를 풍긴다.
190,레드 BP,special,,23,62,31,,,사사키 치에,아라키 히나,카미죠 하루나,,,3,아이돌 LIVE 로얄 크리스마스 SP 때 등장한 유닛.
191,사나다 요시무라・다케다 신겐,special,,40,61,,,,요코야마 치카,모치다 아리사,,,,2,전국공연 풍래검객전 때 등장한 유닛. 치카의 [붉은 무사]카드를 보면 검을 들고 있는데 아마 사나다 요시무라를 의미하는 것 같다. 아리사의 [甲斐のウサトラ]카드는 그녀의 이미지 중의 하나인 토끼로 패러디한 다케다 신겐[그의 이명 - 甲斐の虎]을 의미하는 것으로 보인다.
192,큐티 섬머,special,,61,9,55,,,모치다 아리사,미무라 카나코,야나세 미유키,,,3,제2회 수영복DE 드림 LIVE 페스티벌 때 등장한 유닛
193,숲의 마녀와 마을 사람,special,,60,65,,,,미즈모토 유카리,아이노 나기사,,,,2,동화공연 만져대는 늑대와 빨간두건 때 등장한 유닛
194,마고양이와 메이드,special,,11,37,59,,,마에카와 미쿠,아야세 호노카,하야사카 미레이,,,3,마계공연 유울여왕과 할로윈 축제 때 등장한 유닛
195,미야기 친선대사,special,,22,37,59,,,사쿠마 마유,아야세 호노카,하야사카 미레이,,,3,제15회 드림 LIVE 페스티벌 때 등장한 유닛
196,파자마 파티,special,,58,10,29,,,마나카 미사토,오가타 치에리,카와시마 미즈키,,,3,제4회 드림 LIVE 페스티벌 때 등장한 유닛
197,미나즈키 고코로,special,,58,62,77,,,마나카 미사토,아라키 히나,아이바 유미,,,3,아이돌 LIVE 로얄 비오는 날 SP 때 등장한 유닛. 일본어로는 [ミナヅキゴコロ]라고 적는다. 미나즈키는 한자로 적으면 水無月. 음력 6월이라는 의미이다. 커뮤에서 미사토는 여행 이야기. 유미는 꽃 이야기. 히나는 종이가 습기를 먹는다거나 여름 이벤트의 당락발표가 있다거나 컬러 원고에 관한 이야기를 하는 등 각자 특징을 드러낸다.
198,팀 북의 대지,special,,50,55,42,,,사와다 마리나,야나세 미유키,쿠로카와 치아키,,,3,제21회 드림 LIVE 페스티벌 때 등장한 유닛. 출신지가 홋카이도와 나가노라서 북의 대지란 표현을 쓴 것 같다.
199,프레시 아스리테스 카나&마리나,special,,54,50,,,,이마이 카나,사와다 마리나,,,,2,제2회 수영복DE 드림 LIVE 페스티벌 때 등장한 프레시 아스테리스의 파생 유닛이다. 카나와 마리나의 조합은 제7회 아이돌 LIVE 로얄 때 등장하였다.
200,귀신 퇴치 일행(우정출현),special,,46,42,,,,시이나 노리코,쿠로카와 치아키,,,,2,복은 안으로 DE 드림 LIVE 페스티벌 때 등장한 유닛
201,준 미스트리스,special,,70,45,,,,미후네 미유,이가라시 쿄코,,,,2,아이돌 LIVE 로얄 비오는 날 SP 때 등장한 유닛. [카마쿠라 아지사이 돌아보기]에서 같이 등장한 2명의 유닛. [비가 씻어준 추억은 어른이 될수록 늘어나는 거야] 라는 의미심장한 말을 하는 미유에게 [괜찮아요. 비가 온 다음엔 반드시 맑은 날이 오니까요]라고 쿄코는 긍정적으로 답한다. 라고 유닛 설명에 나오는데... 안 좋은 추억이 얼마나 많은 것인가?
202,놀 디 담,special,,42,44,,,,쿠로카와 치아키,아이카와 치나츠,,,,2,아이돌 LIVE 로얄 비오는 날 SP 때 등장한 유닛
203,코스메티아 정찰부대,special,,29,23,41,,,카와시마 미즈키,사사키 치에,마츠모토 사리나,,,3,강철공연 키라링 로보 - 습래! 코스메티아 제국 때 등장한 유닛
204,리틀 스마일즈,special,,23,8,40,,,사사키 치에,아카기 미리아,요코야마 치카,,,3,아이돌 LIVE 투어 카니발 in 독일 때 등장한 유닛. 멤버들이 전부 어린이들이라서 리틀이란 단어를 붙인 것으로 보인다.
205,kNIGHT of WALPURGiS,special,,34,13,16,,,시라사카 코우메,칸자키 란코,호시 쇼코,,,3,제21회 드림 LIVE 페스티벌 때 등장한 유닛. 발푸르기스의 밤은 독일 및 북유럽 등지에서 전해내려오는 4월 30일 밤에서 5월 1일에 걸친 봄의 민속축제. 쉽게 말하면 독일판 할로윈이라고 한다. 하지만 유닛명은 밤이 아니라 기사이다. 일종의 말장난 유닛이라고 할 수 있을 듯.
206,L.M.B.G. from SS,special,ハイファイ☆デイズ ,43,23,71,8,75,류자키 카오루,사사키 치에,사쿠라이 모모카,아카기 미리아,이치하라 니나,5,데레스테 이벤트 [ハイファイ☆デイズ] 때 등장한 유닛. 원래 L.M.B.G. 라고 하면 데레스테 이전에 신데렐라걸즈 세계관에 존재하는 유닛인 Little Marching Band Girls[L.M.B.G.]의 줄임말. 처음엔 치에와 치카로 시작했는데. 멤버들이 계속 늘어서 소속 멤버가 열 명이 넘는다. 그 중 데레스테에 등장하는 다섯명이 모여서 이벤트에 등장하였다. 참고로 해당 싱글은 판매고가 무려 10만장. 아이돌마스터 내에서도 손에 꼽는 판매량을 기록하였다.
207,사기 주사위 인생 게임,special,,6,76,31,,,후타바 안즈,타치바나 아리스,카미죠 하루나,,,3,공식 코믹 [오늘의 아이돌씨]에서 경품으로 얻은 사탕을 타치바나 아리스에게 퍼주었다. 하지만 실상은 일하기 싫다고 하자 아리스와 카미죠 하루나가 인생게임 하자고 제안. 잔머리 굴려서 사기 주사위를 만든 다음 6칸마다 1회 휴식후 사탕을 먹었는데... 하필 그 주사위를 아리스에게 주는 바람에... 어쨌든 이걸 제외하면 이 3명의 멤버가 엮이는 일은 별로 없는 신기한 조합이다.
208,우사밍 레인저들,special,,20,40,13,39,,아베 나나,요코야마 치카,칸자키 란코,오이카와 시즈쿠,,4,신데렐라 걸즈 ~앙상블~ 26화에서 등장한 유닛[??] 유닛이라고 부르기엔 적절하지 않을 수도 있지만 넘어가도록 하자. 메르헨 체인지[변신]한 이후의 명칭은 우사큐티[나나]. 우사브륀힐데[란코]. 우사빵빵[시즈쿠]. 우사러브리[치카]이다. 대낮에 사무실에서 자고 있는 안즈에게 치히로씨를 대신하여 천벌을 내린다.
209,넥스트 제너레이션,special,,71,76,8,,,사쿠라이 모모카,타치바나 아리스,아카기 미리아,,,3,아카기 미리아의 SSR카드 [해피 휩]의 특훈 전 카드에 등장하는 3명의 멤버로 구성된 유닛. 정식 등장한 유닛은 아니다. 각자가 각 타입의 대표 로리[?]캐릭터라서인지 로리 제너레이션이란 명칭으로 부르는 모양인데... 본 게임에서는 좀 더 점잖게 넥스트 제너레이션이란 명칭을 쓰도록 하겠다. 모모카와 아리스는 이후 데레스테 이벤트에서도 같이 등장하여 접점을 추가하였다.
210,Masque:Rade From SS,special,Love Destiny,27,25,12,10,22,호죠 카렌,코히나타 미호,타다 리이나,오가타 치에리,사쿠마 마유,5,데레스테 이벤트 [Love∞Destiny] 때 등장한 유닛. 데레스테 오리지널곡이자 유닛이다. 유닛명은 가면무도회란 뜻으로 카렌이 붙인 이름이다. 이유는 [모든 여자아이들은 가면을 쓰고 있으니까]라고. 딱히 리더가 정해지진 않았는데 잡일담당은 리이나가 맡아서 리더가 할 일을 진행하였다.
211,Sunflower,special,きみにいっぱい☆,49,18,75,28,77,오오츠키 유이,히메카와 유키,이치하라 니나,카타기리 사나에,아이바 유미,5,데레스테 이벤트 [きみにいっぱい☆] 때 등장한 유닛. 멤버를 보면 뭔가 제대로 돌아갈 것 같지 않은 구성에 유미 한명 정도가 상식인으로 들어가 있다. 당연하지만 이것저것 귀찮은 일을 맡아서 해야 하는 리더 역할도 유미. 이상한 유닛명을 정리하고 적당한 이름을 짓는 것도 유미가 맡았다.
212,선셋 노스탤지아,initialcostume,,3,64,48,,,혼다 미오,야구치 미우,마츠야마 쿠미코,,,3,아이돌 LIVE 투어 카니발 in 스페이스 월드 때 등장한 유닛. 위키 페이지에 따라서 [선셋 노스텔지아]란 표현도 쓰고 [선셋 노스탤지아]란 표현도 있는데 이 게임에서는 후자를 사용하였다. 초기 의상이 공통인 유닛으로 이게 그다지 평이 좋지 못했고... 미오가 초반에 인기가 없었던 이유의 하나로 꼽히기도 한다.
213,뉴 웨이브,friendship,,67,36,51,,,무라마츠 사쿠라,오오이시 이즈미,츠치야 아코,,,3,아이돌 LIVE 투어 in USA 때 등장한 유닛. 원래부터 친구인 3명으로 구성된 유닛. 이름이 처음엔 [뉴 웨이브 유닛]이었다가 [뉴 웨이브]였다가 [뉴 웨이브스]로 바뀌기도 하는데 이 게임에서는 뉴 웨이브란 표현을 사용하였다. 이후 이벤트[서부공연 건슬링거 저니]에서는 [순회 극단]이란 이름으로 등장하였고. [괴도공연 아름다운 추적자]에서는 [견학하러 온 인근의 영애]라는 이름으로 등장했다. 멤버들의 관계나 3명 유닛으로서의 등장 빈도 등을 보면 나름 밀어주는 것도 같지만... 성우도 없고 아직까진 새로운 물결이라고 부를 수준은 아닌 것 같다.
214,핫 섬머 윈드,special,,22,52,72,,,사쿠마 마유,키타미 유즈,타카가키 카에데,,,3,여름 축제 DE 드림 LIVE 페스티벌 때 등장한 유닛
215,팀 달맞이 술,special,,61,28,72,,,모치다 아리사,카타기리 사나에,타카가키 카에데,,,3,제15회 드림 LIVE 페스티벌 때 등장한 유닛
216,수증기의 화려한 공주,special,,57,49,72,,,모모이 아즈키,오오츠키 유이,타카가키 카에데,,,3,제3회 드림 LIVE 페스티벌 때 등장한 유닛
217,후리소데의 공주,special,,75,17,72,,,이치하라 니나,코시미즈 사치코,타카가키 카에데,,,3,제9회 아이돌 LIVE 로얄 때 등장한 유닛
218,창의 악단[Azul Musica] from SS,special,Nation Blue,2,72,13,14,12,시부야 린,타카가키 카에데,칸자키 란코,닛타 미나미,타다 리이나,5,데레스테 이벤트 [Nation Blue] 때 등장한 유닛. 곡 자체는 Cool jewelries! 001에서 나왔다. 유닛명 Azure Musica(푸른 악단 또는 창의 악단)은 칸자키 란코가 지은 것이다. 여기에 시부야 린의 도움도 있었다. 나름 상식인 캐릭터가 많은 유닛인데... 상식적인 연장자인 미나미가 리더를 맡고 있다. 데레 1st콘서트에서는 이 조합으로 무대에 올랐는데... 스케쥴 등의 이유로 앞으로는 모이기 어려울 것이라고 여겨지고 있다.
219,미스테리어스 아이즈,special,,72,73,,,,타카가키 카에데,하야미 카나데,,,,2,제1회 드림 LIVE 페스티벌 때 등장한 유닛
220,키르슈 with 린,special,,10,72,2,,,오가타 치에리,타카가키 카에데,시부야 린,,,3,제6회 드림 LIVE 페스티벌 때 등장한 유닛. 키르슈는 버찌를 증류한 과일 브랜디. 무색이고 향기가 강하며. 알코올 농도는 매우 높다. 멤버를 고려해보자면 치에리가 버찌와 유사하다고 할 수 있는 체리. 카에데가 알코올로 해석해볼 수 있을 것이다.
221,내여귀[옆 동네] 컴비네이션,special,,17,75,72,14,,코시미즈 사치코,이치하라 니나,타카가키 카에데,닛타 미나미,,4,내 여동생이 이렇게 귀여울 리가 없어[俺の妹がこんなに可愛いわけがない] 애니메이션에 등장한 캐릭터들의 성우가 신데렐라걸즈의 성우와 겹친다는 이유로 만든 성우 장난 유닛이다. 키리노[타케타츠 아야나 - 사치코]. 브리짓[쿠노 미사키 - 니나]. 아야세[하야미 사오리 - 카에데]. 란[스자키 아야 - 미나미]로 구성되어 있다.
222,걸프렌드 노트[옆 동네] 센터걸,special,,69,72,17,25,,토토키 아이리,타카가키 카에데,코시미즈 사치코,코히나타 미호,,4,게임 걸프렌드 노트[ガールフレンド[♪]]에 등장한 캐릭터들의 성우가 신데렐라걸즈의 성우와 엄청나게 겹친다. 걸프렌드 노트엔 정말 성우가 넘칠 정도로 많기 때문에... 성우 장난 유닛은 원없이 만들 수 있겠지만... 우선 센터걸에 한정짓기로 하자. 아쉽게도 치히로씨나 히다카 아이. 미나세 이오리는 포함되어 있지 않다. 에레나[하라다 히토미 - 아이리]. 하루카[하야미 사오리 - 카에데]. 이치고[타케타츠 아야나 - 사치고]. 무츠미[츠다 미나미 - 미호]로 구성되어 있다.
223,무채한의 팬텀 월드[옆 동네] 컴비네이션,special,,15,72,13,75,,아나스타샤,타카가키 카에데,칸자키 란코,이치하라 니나,,4,무채한의 팬텀 월드[無彩限のファントム・ワールド]의 마이[우에사카 스미레 - 아나스타샤]. 레이나[하야미 사오리 - 카에데]. 코이토[우치다 마아야 - 란코]. 쿠루미[쿠노 미사키 - 니나]로 구성된 성우 장난 유닛
224,냥.냥.냥,special,,11,38,15,,,마에카와 미쿠,타카미네 노아,아나스타샤,,,3,제1회 드림 LIVE 페스티벌 때 등장한 유닛. 미쿠를 중심으로 한 고양이귀 유닛. 노아는 자신의 [미스테리어스 메이드]에서 등장. 아냐는 미쿠의 [시사이드 캣] 배경에서 고양이귀를 단 적이 있다. 그 외에 나탈리아의 [카니발 스타]에 배경으로 셋이 출연하기도 했다. 신데마스 공식 코믹인 앙상블에서도 셋이 가끔 나온다. 
225,날개옷 미녀,special,,79,19,,,,시오미 슈코,코바야카와 사에,,,,2,제1회 드림 LIVE 페스티벌 때 등장한 유닛. 본편 출연이 아닌 외전 보이스드라마 매직 아워 출연라고 적혀 있는데... 이 게임에서 그런 건 전혀 중요하지 않다. 슈코와 사에는 고향도 같아서인지[교토] 이것저것 자주 엮이는 듯 하다.
226,버라이어티 머메이드,special,,79,17,30,,,시오미 슈코,코시미즈 사치코,히노 아카네,,,3,제7회 드림 LIVE 페스티벌 때 등장한 유닛
227,신데렐라 드림[수영복 DE 드림 LIVE 페스],special,,79,19,69,,,시오미 슈코,코바야카와 사에,토토키 아이리,,,3,수영복 DE 드림 LIVE 페스 때 등장한 신데렐라 드림. 신데렐라 드림은 동명의 유닛으로 사람을 바꾸어가면서 엄청나게 등장한다. 
228,신데렐라 드림[제21회 드림 LIVE 페스],special,,8,19,27,,,아카기 미리아,코바야카와 사에,호죠 카렌,,,3,제21회 드림 LIVE 페스 때 등장한 신데렐라 드림. 신데렐라 드림은 동명의 유닛으로 사람을 바꾸어가면서 엄청나게 등장한다.
229,신데렐라 드림[여름축제 DE 드림 LIVE 페스],special,,5,25,12,,,죠가사키 리카,코히나타 미호,타다 리이나,,,3,여름축제 DE 드림 LIVE 페스 때 등장한 신데렐라 드림. 신데렐라 드림은 동명의 유닛으로 사람을 바꾸어가면서 엄청나게 등장한다.
230,매혹의 풀사이드,special,,71,26,16,,,사쿠라이 모모카,카미야 나오,호시 쇼코,,,3,여름 축제 DE 드림 LIVE 페스티벌 때 등장한 유닛. 큐트. 쿨. 패션으로 균형있게 구성되어 있지만 뭔가 알 수 없는 조합이다. 그래서 혹시나해서 찾아봤는데 픽시브 위키쪽에도 별 정보가 없다. 승패 대사를 읽어봐도 뭔가 확오는 내용은 없는 듯. 어떻게 만들어진 유닛인지 모르겠다.
231,메모리얼 섬머 노츠,special,,62,64,19,,,아라키 히나,야구치 미우,코바야카와 사에,,,3,여름 축제 DE 드림 LIVE 페스티벌 때 등장한 유닛
232,여신들의 여름 잔치,special,,29,28,72,,,카와시마 미즈키,카타기리 사나에,타카가키 카에데,,,3,여름 축제 DE 드림 LIVE 페스티벌 때 등장한 유닛. 성인들의 조합이다. 3명 다 술만 안 먹으면 여신이라 불러도 될 정도로 매력이 빼어난 분들이니 적당히 넘어가도록 하자.
233,초저녁 달 꽃 소녀,special,,77,45,,,,아이바 유미,이가라시 쿄코,,,,2,여름 축제 DE 드림 LIVE 페스티벌 때 등장한 유닛
234,미유 언니와 카오루쨩,special,,43,70,,,,류자키 카오루,미후네 미유,,,,2,수영복 DE 드림 LIVE 페스티벌 때 등장한 유닛. 멤버들의 이름을 그대로 쓰고 있으니 이해하기 쉬운 유닛명. 미유는 니나와는 모녀처럼 그려지는데 카오루와는 언니 동생으로 그려지나 보다.
235,스쿨 스위머즈,special,,71,20,17,,,사쿠라이 모모카,아베 나나,코시미즈 사치코,,,3,수영복 DE 드림 LIVE 페스티벌 때 등장한 유닛. 사치코는 [자칭･머메이드] 카드에서. 나나는 [섬머☆우사밍] 카드에서. 모모카는 [섬머 마드모아젤] 카드에서 학교 수영복을 입는다. 이외에도 학교 수영복 카드는 많이 있을 법도 한데 굳이 따로 찾아보진 않도록 하겠다.
236,트랑킬 위스퍼,special,,74,15,72,,,사기사와 후미카,아나스타샤,타카가키 카에데,,,3,수영복 DE 드림 LIVE 페스티벌 때 등장한 유닛. 트랑킬이 고요하다란 단어에서 온 거라면 조용하게 속삭이는 듯한 말투를 가진 멤버를 의미하는 것 같다. 
237,신데렐라 걸 슈코&린,special,,79,2,,,,시오미 슈코,시부야 린,,,,2,제14회 아이돌 LIVE 로얄 때 등장한 유닛. 슈코와 린 모두 신데렐라 걸[인기투표 1위를 해 본 적이 있다는 의미]을 역임한 적이 있다. 슈코가 4대. 린이 3대
238,신데렐라 걸 슈코&아이리,special,,79,69,,,,시오미 슈코,토토키 아이리,,,,2,제14회 아이돌 LIVE 로얄 때 등장한 유닛. 슈코와 아이리 모두 신데렐라 걸[인기투표 1위를 해 본 적이 있다는 의미]을 역임한 적이 있다. 슈코가 4대. 아이리가 1대
239,신데렐라 걸 슈코&란코,special,,79,13,,,,시오미 슈코,칸자키 란코,,,,2,제14회 아이돌 LIVE 로얄 때 등장한 유닛. 슈코와 란코 모두 신데렐라 걸[인기투표 1위를 해 본 적이 있다는 의미]을 역임한 적이 있다. 슈코가 4대. 란코가 2대
240,플라워 비치 머메이드,special,,80,77,78,,,무카이 타쿠미,아이바 유미,후지모토 리나,,,3,아이돌 LIVE 투어 in 하와이 때 등장한 유닛. 타쿠미와 리나는 자주 엮인다고 치고 어쩌다가 유미가 끼고. 이름엔 유미 중심인 플라워가 포함되었는지 잘 모르겠다.
241,노티 갸루즈,special,,80,78,,,,무카이 타쿠미,후지모토 리나,,,,2,제2회 수영복DE 드림 LIVE 페스티벌 때 등장한 유닛. 타쿠미와 리나는 자주 엮이는 것 같다. 노티는 아마도 Naughty. 어른들의 말을 잘 안 듣고 행실이 좋지 않다란 의미인 것 같다.
242,러블리 에이프런즈,special,,80,46,52,,,무카이 타쿠미,시이나 노리코,키타미 유즈,,,3,제4회 드림 LIVE 페스티벌 때 등장한 유닛. 에어프론(Apron / エプロン)타쿠미에게 에이프런이라니... 이런 악취미[?]를 즐기는 사람들이 많은가 보다. 근데 [수줍은 발렌타인] 카드 일러스트를 보면 그냥 평범하게 잘 어울린다. 노리코는 음식 관련 캐릭터다 보니 복장이 앞치마 비슷한 이미지가 많다. [해피 발렌타인]카드는 정말 요리할 때 입을 것 같은 복장. 유즈는 [푸드☆메이드] 카드에서 비슷한 복장이 나오는데 에이프런은 아닌 것 같다. 대사도 심사위원이란 식이고
243,매시브 라이더즈,special,,80,21,78,,,무카이 타쿠미,키무라 나츠키,후지모토 리나,,,3,제6회 드림 LIVE 페스티벌 때 등장한 유닛. 멤버들이 오토바이를 타는 공통점이 있는 것 같다. 타쿠미가 나츠키에게 [에~ 나츠키는 커다란 거 타고 있구나]라면서 칭찬하는 대사가 나온다.
244,겁 많은 얼룩 다람쥐 & 날뛰는 사자,special,,24,80,,,,모리쿠보 노노,무카이 타쿠미,,,,2,제8회 드림 LIVE 페스티벌 때 등장한 유닛. 날뛰는 사자는 타쿠미일테니 얼룩 다람쥐가 노노일 것이다. 타쿠미의 [백수의 여왕]카드와 노노의 [곤혹스런 작은 다람쥐]카드를 참고하도록 하자.
245,뇌무상등,special,,80,28,78,,,무카이 타쿠미,카타기리 사나에,후지모토 리나,,,3,제13회 드림 LIVE 페스티벌 때 등장한 유닛. 본편 출연이 아닌 외전 보이스드라마 매직아워 출연라고 하지만 이 게임에서 그런 건 전혀 중요하지 않다. 전직 경찰인 사나에와 폭주족 출신의 타쿠미의 조합이다 보니 상성이 그리 좋아보이진 않는다.
246,BEYOND THE STARLIGHT[음악방송] From SS,special,BEYOND THE STARLIGHT,29,10,5,27,49,카와시마 미즈키,오가타 치에리,죠가사키 리카,호죠 카렌,오오츠키 유이,5,데레스테 [BEYOND THE STARLIGHT] 이벤트에서 등장한 음악방송 출연 버전 유닛. 게임에서는 이 유닛 중심으로 커뮤가 진행된다. 이벤트와 동명의 노래는 데레스테의 오리지널곡이며 1주년 기념곡이다. 각 멤버들은 데레스테 이벤트에 참여했었고 커뮤에선 해당 이벤트를 추억하면서 데레스테 1주년을 기념 및 축하한다.
247,BEYOND THE STARLIGHT[라이브] From SS,special,BEYOND THE STARLIGHT,26,11,1,4,12,카미야 나오,마에카와 미쿠,시마무라 우즈키,죠가사키 미카,타다 리이나,5,데레스테 [BEYOND THE STARLIGHT] 이벤트에서 등장한 라이브 출연 버전 유닛. 데레 4th 콘서트에서 해당 멤버들이 라이브에 다회 출연하였다. 이벤트와 동명의 노래는 데레스테의 오리지널곡이며 1주년 기념곡이다.
248,Near to You From SS,special,Near to You,71,35,28,75,76,사쿠라이 모모카,나카노 유카,카타기리 사나에,이치하라 니나,타치바나 아리스,5,데레스테 [Near to You] 이벤트에서 등장한 유닛. 노래는 CINDERELLA MASTER jewelries! 003에 포함되어 속성별로 다양한 멤버들이 불렀다. 여기서는 게임의 이벤트에 등장했던 멤버로 구성하였다. 리더는 연장자인 사나가 맡았으나 멤버들이 꽤나 리더욕심을 냈었기 때문에... 사나에가 하나씩 감투를 씌워 준다. 아리스는 사령관. 모모카는 대표. 유카는 주장. 니나에겐 두목[おかしら]이란 감투를 주어 다들 만족시키는 멋진 모습을 보여준다.
249,진리를 가르치는 자,special,,81,47,,,,미야모토 프레데리카,타카하시 레이코,,,,2,전국공연 천마의난 때 등장한 유닛
250,템프테이션 아이즈,special,,81,79,,,,미야모토 프레데리카,시오미 슈코,,,,2,제5회 드림 LIVE 페스티벌 때 등장한 유닛
251,CD debut 카나데&프레데리카&후미카,special,,73,81,74,,,하야미 카나데,미야모토 프레데리카,사기사와 후미카,,,3,복은 안으로 DE 드림 LIVE 페스티벌 때 등장한 유닛
252,신춘 모드 '16,special,,81,32,,,,미야모토 프레데리카,타카모리 아이코,,,,2,드림 LIVE 페스티벌 신춘 SP 때 등장한 유닛. 참고로 동명의 유닛이 존재하는데 해당 유닛에는 사죠 유키미. 시라기쿠 호타루가 포함되어 있다. 해당 멤버가 이 게임에 추가되면 어떤 유닛명으로 구분할 지 그때가서 고민해보도록 하자.
253,FrenchKisS,special,,81,73,,,,미야모토 프레데리카,하야미 카나데,,,,2,아이돌 LIVE 로얄 발렌타인 SP 때 등장한 유닛. 프랑스 출신의 프레데리카와 키스를 입에 달고 사는 카나데의 조합
254,트리니티 보이스,special,,81,73,18,,,미야모토 프레데리카,하야미 카나데,히메카와 유키,,,3,제14회 아이돌 LIVE 로얄 때 등장한 유닛. 균형 좋게 큐트. 쿨. 패션으로 구성된 유닛인데 사실 3명의 접점은 잘 모르겠다. 그래서 찾아보니 CM7기생이라고 하는데. CM7기생이라고 하면 15년 2월에 발매된 신데렐라 마스터에서 시디 데뷔를 한 5명의 아이돌을 지칭한다고 한다. 유키가 32. 프레데리카가 33. 카나데가 34번째 데뷔. 31번 후미카와 35번 니나를 제외하고 이렇게 유닛을 만들었는지는 여전히 잘 모르겠지만... 이 정도로 넘어가도록 하자.
255,걸즈 앤 판쳐[옆 동네] 오아라이 고교,special,,27,5,,,,호죠 카렌,죠가사키 리카,,,,2,걸즈 앤 판처[ガールズ&パンツァー] 애니메이션에 등장한 캐릭터들의 성우가 신데렐라걸즈의 성우와 겹친다는 이유로 만든 성우 장난 유닛이다. 그 중에서도 현립 오아라이 여학원의 미호[후치가미 마이 - 카렌]. 사토코[야마모토 노조미 - 리카]로 구성되어 있다.
256,걸즈 앤 판쳐[옆 동네] 타 참전 고교,special,,15,72,10,11,,아나스타샤,타카가키 카에데,오가타 치에리,마에카와 미쿠,,4,걸즈 앤 판처[ガールズ&パンツァー] 애니메이션에 등장한 캐릭터들의 성우가 신데렐라걸즈의 성우와 겹친다는 이유로 만든 성우 장난 유닛이다. 그 중에서도 오아라이 여학원 이외의 고교에 소속된 논나[프라우다 - 우에사카 스미레 - 아나스타샤]. 카르파치오[안치오 - 하야미 사오리 - 카에데]. 후쿠다[치하탄 - 오오조라 나오미 - 치에리]. 로즈힙[세인트 글로리아나 - 타카모리 나츠미 - 미쿠]로 구성되어 있다.
257,걸즈 앤 판쳐[옆 동네] 대학 선발팀,special,,17,73,,,,코시미즈 사치코,하야미 카나데,,,,2,걸즈 앤 판처[ガールズ&パンツァー] 애니메이션에 등장한 캐릭터들의 성우가 신데렐라걸즈의 성우와 겹친다는 이유로 만든 성우 장난 유닛이다. 그 중에서도 대학 선발팀에 소속된 아리스[타케타츠 아야나 - 사치코]. 아즈미[이이다 유우코 - 카나데]로 구성되어 있다.
258,냇가의 소악마,special,,82,34,59,,,니노미야 아스카,시라사카 코우메,하야사카 미레이,,,3,동화공연 만져대는 늑대와 빨간두건 때 등장한 유닛
259,미스테릭 가든,special,,82,77,,,,니노미야 아스카,아이바 유미,,,,2,제16회 드림 LIVE 페스티벌 때 등장한 유닛. 아마도 아스카가 미스테릭 담당. 유미가 가든 담당이라고 보면 될 것 같다.
